word,mi,le,re
站稳,953.25,0.6931471805599453,0.6931471805599453
改革开放,635.5,0.6931471805599453,0.6931471805599453
战略,635.5,0.6931471805599453,0.6931471805599453
形势,571.95,0.6931471805599453,0.6931471805599453
社会主义,453.92857142857144,1.0397207708399179,0.6365141682948128
改革,453.92857142857144,0.6931471805599453,1.0397207708399179
人民,263.9769230769231,1.3862943611198906,0.9502705392332347
发展,190.65,1.7917594692280547,1.6094379124341005
国家,131.48275862068965,0.6931471805599453,0.6931471805599453
风险,122.99999999999999,0.9536870968261045,1.6674619334292948
政治,73.10326797385619,2.4072347217469545,1.7097258701121554
中国,65.74137931034483,1.3862943611198906,1.5229550675313184
政治风险,55.9090909090909,0.7201248812718097,1.0986122886681096
